757.710022,763.900024,762.52002
744.590027,754,750.5
757.440002,759.849976,747.919983
770.070007,772.98999,758.039978
771.530029,778.5,770.840027
760,779.530029,768.23999
764.26001,765,761.679993
767.72998,768.28302,760.98999
772.630005,776.960022,768.27002
762.609985,769.700012,769.200012
771.369995,775,760.539978
766.919983,772.700012,771.22998
755.200012,766.359985,764.47998
746.969971,764.416016,758.48999
755.599976,757.849976,736.080017
756.539978,760.780029,754.02002
791.169983,791.169983,762.559998
779.940002,791.22699,785.309998
783.400024,795.632996,790.51001
